Indicator Name,Indicator Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Population, male",SP.POP.TOTL.MA.IN,Philippines,PHL,40007538,40911083,41741521,42569088,43395588,44199328,44917896,45676294,46469708,47294043,48292490,49271579,50264658,51244315,52095110,52836545,53493627,54120287,54710323,55297777,55905489,56419691,56849247,57310817,57784107
"Population, male",SP.POP.TOTL.MA.IN,Palau,PLW,10464,10539,10589,10639,10686,10647,10496,10316,10139,9959,9772,9579,9386,9337,9426,9501,9542,9572,9598,9614,9616,9601,9579,9555,9530
"Population, male",SP.POP.TOTL.MA.IN,Papua New Guinea,PNG,2884098,2982137,3083484,3187107,3292814,3400500,3510223,3621900,3735586,3851061,3968218,4084146,4197418,4309840,4421536,4532346,4642125,4750876,4858798,4965821,5067943,5164383,5257153,5347981,5439223
"Population, male",SP.POP.TOTL.MA.IN,Poland,POL,18542700,18531425,18516186,18496850,18477832,18460302,18436319,18411671,18403680,18369595,18333483,18424277,18447245,18438356,18427295,18418052,18413190,18418853,18422682,18422249,18200878,17930592,17846011,17778895,17710437
"Population, male",SP.POP.TOTL.MA.IN,"Korea, Dem. People's Rep.",PRK,11549047,11625278,11690686,11764326,11846359,11916431,11979567,12040054,12100079,12159896,12219535,12281927,12347523,12416342,12488537,12562727,12636038,12706103,12771188,12830805,12885558,12942570,13002441,13058006,13108717
"Population, male",SP.POP.TOTL.MA.IN,Portugal,PRT,4965862,5003493,5028645,5042331,5050239,5055672,5060668,5065871,5066547,5063335,5057754,5043230,5015283,4978437,4943007,4917347,4900212,4887318,4877005,4880032,4891846,4931123,4970696,5039019,5097573
"Population, male",SP.POP.TOTL.MA.IN,Paraguay,PRY,2576086,2620009,2657280,2689921,2720509,2750105,2778190,2804771,2831247,2859418,2892171,2929960,2970613,3012723,3055701,3099586,3143770,3187583,3230943,3273780,3316874,3355140,3391532,3432398,3474116
"Population, male",SP.POP.TOTL.MA.IN,West Bank and Gaza,PSE,1476639,1513004,1549170,1585914,1623672,1662966,1703866,1746199,1793269,1839980,1886645,1933250,1979876,2026332,2072523,2118949,2166061,2209768,2267781,2326703,2386360,2446625,2507671,2567330,2625766
"Population, male",SP.POP.TOTL.MA.IN,French Polynesia,PYF,122655,124360,126052,127921,129935,131862,133715,135289,136153,136549,136942,137359,137887,138564,139248,139840,140345,140811,141165,141346,141529,141708,141936,142256,142530
"Population, male",SP.POP.TOTL.MA.IN,Qatar,QAT,440529,463962,487634,511476,526560,563979,695565,904260,1087070,1223730,1220052,1216321,1279451,1419884,1605817,1764891,1867260,1908338,1917660,1933850,2014848,1799084,1909216,1899495,2037072
"Population, male",SP.POP.TOTL.MA.IN,Romania,ROU,10780440,10618563,10421149,10351922,10301553,10246750,10194227,10051678,9891092,9812993,9758208,9714643,9676860,9646834,9616896,9577856,9527955,9477031,9425996,9381144,9333773,9263671,9226047,9231680,9235992
"Population, male",SP.POP.TOTL.MA.IN,Russian Federation,RUS,68540677,68152942,67734802,67325398,66941152,66568279,66253963,66087089,66030180,66039084,66076427,66178525,66380492,66617027,66848165,67059951,67265601,67430370,67507252,67542778,67452297,67241043,67006593,66785451,66607914
"Population, male",SP.POP.TOTL.MA.IN,Rwanda,RWA,3921954,3948113,3995854,4088392,4207833,4330523,4456172,4584405,4714220,4844864,4976177,5107248,5237878,5370913,5506998,5644720,5784207,5925368,6067944,6211660,6356319,6500904,6649385,6802408,6954758
"Population, male",SP.POP.TOTL.MA.IN,Saudi Arabia,SAU,8842645,9476872,10114466,10755708,11400810,12050112,12704109,13363261,14027759,14697522,14652143,15428698,16183785,17174830,17688178,18716282,19444523,19315333,18609580,18389534,19212001,18696564,19541415,20442120,21369165
"Population, male",SP.POP.TOTL.MA.IN,Sudan,SDN,13910534,14254219,14602202,14924213,15238647,15574449,15925873,16302118,16724421,17191548,17609627,17967795,18353276,18777382,19288200,19881275,20491199,21210802,21961455,22612417,23223742,23852137,24500431,24821596,25012749
"Population, male",SP.POP.TOTL.MA.IN,Senegal,SEN,4923785,5040837,5165734,5294627,5423154,5554569,5688512,5825239,5966097,6111536,6261573,6424346,6601134,6809916,7047523,7286797,7527849,7770153,8013222,8256600,8499022,8738686,8976177,9197809,9405151
"Population, male",SP.POP.TOTL.MA.IN,Singapore,SGP,2067346,2118445,2127962,2084921,2105466,2158739,2240404,2360722,2514962,2600140,2642018,2694958,2768096,2823147,2863215,2892497,2917988,2901239,2906831,2949368,2943595,2818680,2913050,3058830,3119075
"Population, male",SP.POP.TOTL.MA.IN,Solomon Islands,SLB,227961,232086,236164,240206,244235,248272,252336,256434,260580,265110,272557,282751,293313,304239,315496,327043,338836,350813,362874,372640,380922,390072,399453,409073,418847
"Population, male",SP.POP.TOTL.MA.IN,Sierra Leone,SLE,2182453,2316503,2455579,2559191,2648977,2723034,2785651,2849254,2922950,3004359,3088827,3172124,3255125,3337715,3420059,3501912,3586963,3675106,3763742,3853320,3944195,4035669,4127081,4219052,4309971
"Population, male",SP.POP.TOTL.MA.IN,El Salvador,SLV,2867268,2874666,2878960,2879797,2877503,2872463,2865177,2865503,2874193,2882836,2892147,2902504,2913858,2925488,2936403,2945363,2952225,2956724,2958140,2958028,2962869,2972125,2983400,2997185,3010733
"Population, male",SP.POP.TOTL.MA.IN,San Marino,SMR,12953,13109,13266,13427,14196,14370,14528,15016,15229,15897,16002,15742,16202,16012,15829,15947,16042,16398,16750,16827,16883,16685,16545,16647,16707
"Population, male",SP.POP.TOTL.MA.IN,Somalia,SOM,4412894,4594627,4772301,4953689,5141339,5324715,5492051,5667071,5838684,5989242,6140566,6183814,6239785,6444944,6680930,6915573,7187258,7471722,7740261,8030602,8342147,8653664,8919555,9197829,9522790
"Population, male",SP.POP.TOTL.MA.IN,Serbia,SRB,3566828,3555604,3551686,3543704,3537502,3528908,3517123,3505073,3492523,3481018,3469557,3445920,3430216,3413099,3396194,3378634,3360961,3343431,3325873,3308743,3286876,3255703,3170686,3145423,3125122
"Population, male",SP.POP.TOTL.MA.IN,South Sudan,SSD,2932465,3072825,3219430,3375451,3543680,3725490,3921750,4130777,4347952,4563453,4817075,5090225,5326114,5532788,5564751,5494104,5346845,5051910,4978229,5127294,5263796,5345854,5421742,5648789,5874364
"Population, male",SP.POP.TOTL.MA.IN,Sao Tome and Principe,STP,71585,72737,74500,76465,78425,80406,82418,84460,86517,88557,90535,92478,94400,96268,98084,99847,101540,103170,104760,106334,108302,110497,112605,114817,117078
"Population, male",SP.POP.TOTL.MA.IN,Suriname,SUR,241095,246522,251985,257383,261257,263737,266371,269175,272089,275055,278035,281005,283978,286967,289945,292878,295686,298348,300939,303844,306915,309422,311765,314349,316926
"Population, male",SP.POP.TOTL.MA.IN,Slovak Republic,SVK,2617998,2612742,2612020,2610478,2610367,2611194,2611844,2613167,2615989,2620412,2623909,2628282,2633871,2637597,2640895,2644473,2649183,2654441,2659196,2663638,2666263,2660428,2652430,2649630,2647061
"Population, male",SP.POP.TOTL.MA.IN,Slovenia,SVN,971745,973893,975340,976238,977013,979363,984304,993938,998603,1009191,1014526,1015904,1018166,1020234,1021871,1023142,1024614,1026483,1033208,1045216,1054875,1057919,1060216,1064777,1068392
"Population, male",SP.POP.TOTL.MA.IN,Sweden,SWE,4386546,4400744,4417977,4437073,4456648,4476575,4505132,4543745,4583804,4626367,4669690,4708618,4746433,4790115,4843222,4901559,4972157,5048034,5112571,5169127,5209347,5241846,5279578,5306045,5323555
"Population, male",SP.POP.TOTL.MA.IN,Eswatini,SWZ,503483,507063,509970,512299,514308,516119,517686,520447,525045,529980,534658,539140,543458,547683,551923,556280,560718,565950,572024,578194,585072,592169,598334,604016,610191
"Population, male",SP.POP.TOTL.MA.IN,Sint Maarten (Dutch part),SXM,14993,14941,15030,15178,15319,15460,15597,15723,15843,15957,16049,16259,16656,17104,17546,17979,18404,18819,19218,19598,19954,20279,20567,20834,21096
"Population, male",SP.POP.TOTL.MA.IN,Seychelles,SYC,41340,41438,42803,42442,42433,42777,43826,44193,45325,45637,47100,46102,46808,47924,48905,50231,51124,51957,52651,53308,53936,54535,66035,66093,66944
"Population, male",SP.POP.TOTL.MA.IN,Syrian Arab Republic,SYR,8401362,8607012,8814391,9023802,9248158,9489028,9902859,10528957,10908071,11081319,11337061,11536710,11471073,10910180,10199099,9758285,9625815,9626999,9792721,10175062,10520993,10810785,11228512,11795581,12341170
"Population, male",SP.POP.TOTL.MA.IN,Turks and Caicos Islands,TCA,9652,10088,10608,11165,11717,12269,12824,13385,13950,14520,15084,15618,16238,16990,17681,18444,19285,20070,20877,21666,22263,22673,22963,23133,23291
"Population, male",SP.POP.TOTL.MA.IN,Chad,TCD,4221043,4369777,4528828,4717838,4937278,5144831,5337502,5528545,5729574,5942300,6155793,6381047,6613103,6857170,7109654,7342393,7579023,7835854,8105064,8371317,8642229,8944698,9258738,9691189,10181358
"Population, male",SP.POP.TOTL.MA.IN,Togo,TGO,2562800,2632459,2701472,2772046,2845367,2920588,3004876,3095125,3186858,3279930,3371859,3465417,3559179,3653179,3748391,3845518,3944888,4046184,4148945,4253154,4358406,4464569,4572254,4681655,4789204
"Population, male",SP.POP.TOTL.MA.IN,Thailand,THA,31222288,31524454,31815589,32100542,32377325,32645486,32906760,33161086,33407484,33645653,33856529,34044537,34229836,34403336,34556461,34684565,34808522,34921723,34991238,35023533,35040395,35041134,35005295,34950007,34895390
"Population, male",SP.POP.TOTL.MA.IN,Tajikistan,TJK,3007626,3070403,3134034,3198814,3266115,3334391,3402001,3471651,3544887,3622188,3704601,3792548,3890193,3995253,4102469,4213493,4325615,4437542,4550639,4664169,4775554,4885967,4995578,5101342,5203997
"Population, male",SP.POP.TOTL.MA.IN,Turkmenistan,TKM,2263088,2306999,2351559,2396300,2440967,2485622,2530653,2576765,2624902,2675816,2729845,2787063,2847372,2910576,2976417,3044615,3114833,3186561,3259115,3331757,3403211,3472736,3542130,3611349,3678122
"Population, male",SP.POP.TOTL.MA.IN,Timor-Leste,TLS,383232,417663,451947,471210,477351,487001,501195,515411,529263,542538,555423,567728,579397,590652,601636,612682,623714,634793,646233,657969,669693,680874,690107,697774,706128
"Population, male",SP.POP.TOTL.MA.IN,Tonga,TON,51871,52157,52434,52720,53015,53303,53580,53746,53757,53719,53700,53668,53501,53196,52846,52477,52071,51788,51623,51400,51140,50721,50151,49590,49213
"Population, male",SP.POP.TOTL.MA.IN,Trinidad and Tobago,TTO,654341,657091,660135,663278,666388,640988,642502,644901,647372,647922,651488,656404,659774,662238,664412,666278,668054,669229,672946,676137,675655,676008,675404,676306,676429
"Population, male",SP.POP.TOTL.MA.IN,Tunisia,TUN,4933770,4980855,5026444,5071274,5113296,5152525,5192452,5234510,5279391,5327885,5380088,5434667,5490904,5551092,5612404,5671801,5730439,5786820,5839815,5890077,5934715,5966587,5997034,6033405,6068423
"Population, male",SP.POP.TOTL.MA.IN,Turkiye,TUR,32880645,33280970,33672826,34053750,34423143,34780073,35125774,35168809,35619832,36134689,36708205,37253203,37715913,38190305,38697460,39205598,39724020,40229820,40765876,41335957,41714021,42065122,42453487,42606561,42685629
"Population, male",SP.POP.TOTL.MA.IN,Tuvalu,TUV,4686,4720,4750,4799,4874,4954,5030,5111,5199,5290,5388,5493,5590,5632,5625,5616,5606,5586,5527,5427,5322,5213,5110,5021,4936
"Population, male",SP.POP.TOTL.MA.IN,Tanzania,TZA,17024412,17485518,17930206,18397202,18889349,19407597,19945805,20497919,21043132,21537680,22068182,22690505,23355389,24079300,24843560,25693439,26623105,27558719,28455327,29314002,30204465,31128864,32065744,33013815,33983247
"Population, male",SP.POP.TOTL.MA.IN,Uganda,UGA,11792400,12164024,12556083,12963553,13362565,13765074,14178926,14607794,15050621,15506522,15976604,16459060,16951274,17451807,17981739,18550371,19185091,19875318,20570964,21289504,22019413,22747489,23449750,24122612,24805126
"Population, male",SP.POP.TOTL.MA.IN,Ukraine,UKR,23101420,22881796,22672699,22499149,22335725,22137958,21985022,21878929,21757438,21665336,21592631,21529805,21496222,21470609,21404573,21322230,21251064,21173214,21070612,20953130,20820757,20644066,19117441,17544336,17598051
"Population, male",SP.POP.TOTL.MA.IN,Uruguay,URY,1586632,1589956,1591602,1592117,1592485,1593141,1594294,1596481,1599492,1603078,1607026,1610967,1615239,1620293,1625954,1632047,1638035,1643006,1646166,1647468,1648503,1647432,1644412,1643010,1642560
"Population, male",SP.POP.TOTL.MA.IN,United States,USA,140130199,141644460,143032123,144333534,145740143,147151596,148636985,150112450,151591760,152974599,154316891,155655724,157078554,158438102,159862524,161294530,162715186,163988313,165079086,166044067,166757917,166983308,167894446,169236648,170880836
"Population, male",SP.POP.TOTL.MA.IN,Uzbekistan,UZB,12456543,12608794,12764288,12920906,13081214,13246440,13419042,13609358,13821283,14047005,14274243,14497574,14721443,14957337,15212241,15481660,15755847,16029110,16311735,16612447,16928447,17264132,17618709,17982214,18343712
"Population, male",SP.POP.TOTL.MA.IN,St. Vincent and the Grenadines,VCT,58165,58182,58132,58057,57931,57768,57576,57359,57131,56892,56638,56350,56039,55704,55366,55034,54690,54315,53904,53476,53054,52584,52100,51665,51236
"Population, male",SP.POP.TOTL.MA.IN,"Venezuela, RB",VEN,12282549,12504481,12727310,12951175,13170327,13388125,13601914,13807091,14000234,14182559,14361204,14538290,14712919,14882999,15044704,15195272,15280477,15168915,14780952,14338763,14083715,13972114,13952027,13988508,14033859
"Population, male",SP.POP.TOTL.MA.IN,British Virgin Islands,VGB,10361,10624,10891,11178,11488,11822,12181,12562,12967,13377,13579,14004,14675,15234,15756,16390,16143,15665,16459,17160,17459,17731,18003,18413,18692
"Population, male",SP.POP.TOTL.MA.IN,Virgin Islands (U.S.),VIR,51837,51756,51764,51795,51814,51839,51825,51827,51853,51836,51805,51804,51801,51763,51707,51688,51711,51724,51722,51707,51479,51040,50595,50142,49687
"Population, male",SP.POP.TOTL.MA.IN,Viet Nam,VNM,37825064,38200910,38564497,38910001,39248557,39579827,40060783,40724334,41427391,42038253,42542726,43057881,43590825,44138296,44708461,45295954,45915276,46540600,47089693,47563530,48017590,48448495,48821207,49150969,49461399
"Population, male",SP.POP.TOTL.MA.IN,Vanuatu,VUT,97322,99591,101906,104249,106631,109052,111526,114093,116788,119581,122205,124687,127262,129933,132691,135500,138375,141451,144660,147856,151162,154582,158130,161798,165465
"Population, male",SP.POP.TOTL.MA.IN,Samoa,WSM,93862,94592,95193,95584,95906,96180,96451,96885,97478,98088,98747,99486,100277,101065,101847,102608,103328,104097,104953,105832,106693,107521,108319,109072,109794
"Population, male",SP.POP.TOTL.MA.IN,Kosovo,XKX,908136,916363,920086,916536,912545,908019,902960,897404,891561,885590,879571,879711,887594,893526,891268,879235,874027,880938,884139,880202,880833,878702,869746,827670,751228
"Population, male",SP.POP.TOTL.MA.IN,"Yemen, Rep.",YEM,9894593,10202969,10515032,10833295,11160321,11516600,11903113,12301275,12709692,13129970,13555494,13981410,14418399,14868366,15335223,15808915,16287534,16782377,17279871,17791816,18304570,18809390,19356445,19950332,20558038
"Population, male",SP.POP.TOTL.MA.IN,South Africa,ZAF,22416070,22610218,22845613,23107346,23377403,23652461,23931649,24219588,24532419,24857423,25184586,25530068,25940758,26403121,26890671,27529271,27780550,27904835,28401154,28892232,29381179,29853373,30305843,30750477,31152952
"Population, male",SP.POP.TOTL.MA.IN,Zambia,ZMB,4842281,4999614,5165132,5336751,5518447,5714758,5927677,6153807,6390587,6632998,6876767,7115861,7355209,7599225,7848900,8101736,8360674,8625731,8892364,9162004,9433237,9702842,9973857,10256248,10550240
"Population, male",SP.POP.TOTL.MA.IN,Zimbabwe,ZWE,5658966,5688917,5741030,5808274,5867366,5916178,5988021,6069211,6140465,6225578,6325021,6435375,6531926,6619848,6715517,6810139,6909792,7015107,7125471,7243442,7370588,7505482,7642717,7780934,7929088
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Aruba,ABW,51.88877998,51.94064559,51.98787468,52.01980262,52.05175244,52.09699671,52.1474322,52.19646536,52.24375032,52.28881596,52.27940148,52.28857199,52.36480843,52.43815634,52.50597351,52.56565308,52.62059899,52.67379173,52.73132141,52.79614479,52.84450652,52.83196043,52.7926741,52.76961988,52.76127552
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Afghanistan,AFG,49.85354436,49.81444275,49.7748188,49.73536106,49.69777366,49.6624648,49.63250608,49.60850219,49.58623055,49.56270821,49.53944069,49.51849219,49.4997715,49.48265019,49.46811503,49.45720241,49.44955007,49.45492489,49.47445147,49.49390879,49.51122219,49.5343798,49.54100711,49.52551288,49.51041904
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Angola,AGO,50.87913338,50.88612089,50.88872446,50.87450133,50.85105587,50.82650547,50.80061587,50.77387935,50.74781074,50.72267741,50.69876032,50.67763901,50.6599015,50.64424427,50.63001159,50.616822,50.6035948,50.59034879,50.57764358,50.56542678,50.55581824,50.54685554,50.53626449,50.52588706,50.51591427
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Albania,ALB,51.17800911,51.24741736,51.18176211,51.08516857,50.99288143,50.90591871,50.8252729,50.75016036,50.67826511,50.60831071,50.54083335,50.51035479,50.5147072,50.51708074,50.51681446,50.51462207,50.51068614,50.50649652,50.50253418,50.49691336,50.5073201,50.53210305,50.54947503,50.55922579,50.5681173
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Andorra,AND,47.89221283,48.04106177,48.15054281,48.10966396,47.9468274,47.85135816,47.7496042,47.66359706,47.69267621,47.82867837,48.4456119,48.98371109,49.02907567,49.14420225,49.27852668,49.42084407,49.42990538,49.2990971,49.17245417,49.1140664,49.10054278,48.94211628,48.82002384,48.85475413,48.88389861
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,United Arab Emirates,ARE,31.03096398,31.01681442,31.01478306,31.01950265,31.02362244,31.02242545,31.14737178,31.50887684,32.0096391,32.62798195,33.29967505,33.9645505,34.50846045,34.77469619,34.89370665,35.01469572,35.15486266,35.27184334,35.37339238,35.48185042,35.61673383,35.7777079,35.8968636,35.98767948,36.09858015
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Argentina,ARG,50.70724489,50.70321388,50.70132281,50.69838911,50.69064583,50.67930343,50.66437138,50.64499595,50.62417395,50.60235962,50.57974466,50.55997316,50.53711753,50.50688246,50.47958036,50.46186247,50.44931797,50.43192318,50.41351582,50.39805471,50.39055174,50.39288576,50.38941018,50.37817754,50.36625945
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Armenia,ARM,53.25592169,53.49297372,53.54525908,53.56997719,53.59606371,53.62426198,53.65514114,53.68803951,53.77335734,53.91734419,54.07211954,54.13572673,54.10204936,54.06601431,54.02991081,53.99655687,53.96612708,53.93944966,53.88906739,53.81890734,53.77084305,53.74025946,53.69674144,53.61227672,53.56925726
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,American Samoa,ASM,48.69756398,48.77219428,48.83545679,48.88362296,48.92815657,48.97292333,49.01372973,49.04923993,49.09543598,49.15898286,49.19697985,49.20030603,49.19341518,49.18991983,49.19575057,49.20286703,49.21713498,49.24979646,49.29973089,49.36865166,49.41821909,49.44032504,49.464234,49.49286646,49.53063188
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Antigua and Barbuda,ATG,52.86940503,52.92563331,52.93063831,52.8991834,52.86398455,52.82938287,52.79266538,52.75261921,52.71130838,52.67009611,52.63651387,52.60621786,52.57964703,52.5611764,52.5443587,52.52938742,52.51586658,52.50312269,52.48883708,52.47143295,52.45576787,52.44185039,52.42352434,52.41065209,52.40263618
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Australia,AUS,50.36549381,50.3738233,50.36855161,50.36060529,50.35163184,50.3394616,50.32040896,50.28806394,50.24680415,50.21792901,50.21549274,50.22529807,50.23497937,50.25686781,50.29620777,50.34037495,50.373786,50.38224637,50.37537662,50.37454409,50.38122396,50.3808172,50.3817452,50.38526339,50.38162587
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Austria,AUT,51.63726668,51.58045677,51.51774962,51.47442901,51.43715807,51.39155622,51.35821506,51.34644626,51.33718752,51.32169731,51.30731377,51.28102635,51.237025,51.18614767,51.11671774,50.9830128,50.86818184,50.83303055,50.81918524,50.81015657,50.80280516,50.79772001,50.79033144,50.77958549,50.76520043
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Azerbaijan,AZE,52.86709069,52.77591925,52.68484181,52.59832415,52.50438346,52.3990523,52.29222006,52.18775684,52.08758846,52.00310358,51.92980097,51.85546907,51.77776024,51.69963751,51.62690016,51.56076429,51.45096058,51.30575696,51.18456222,51.1129398,51.08627905,51.06250301,51.0283912,50.99946144,50.98159671
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Burundi,BDI,50.74639968,50.74202279,50.73083287,50.71015759,50.68234643,50.65392836,50.6264345,50.59814695,50.56827607,50.53421872,50.50327709,50.47940014,50.45614013,50.43388275,50.41418413,50.40223745,50.39363577,50.38182766,50.36817909,50.35485356,50.34531882,50.33841012,50.33241632,50.32689407,50.32246363
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Belgium,BEL,51.10873622,51.10015014,51.08179417,51.0695954,51.06757396,51.06553311,51.05562973,51.03759421,51.01508379,50.97290421,50.91872941,50.88738812,50.87108569,50.8627654,50.85264937,50.80185651,50.76255438,50.75439192,50.73454278,50.70805591,50.67865061,50.69051143,50.71554104,50.70764328,50.68940399
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Benin,BEN,50.59512278,50.55278315,50.51059055,50.4676503,50.424036,50.4025626,50.378823,50.3324615,50.28960393,50.25049364,50.21297304,50.17669077,50.1401133,50.10293371,50.06761104,50.03481746,50.00452648,49.97742069,49.95246439,49.92990751,49.91246096,49.89587292,49.87857117,49.86472997,49.85339553
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Burkina Faso,BFA,50.77745294,50.71467664,50.64683915,50.57897049,50.51281309,50.45230002,50.40685051,50.38366173,50.3789235,50.3784198,50.37697282,50.37137403,50.35518565,50.33878561,50.32169357,50.30025051,50.27612051,50.25174663,50.23594196,50.2272856,50.21545775,50.1999796,50.19174741,50.19163306,50.18813925
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Bangladesh,BGD,49.1044136,49.1781822,49.281244,49.39004302,49.50439339,49.62361881,49.74656772,49.87205796,49.99967821,50.1279358,50.25401575,50.36377569,50.45694044,50.54840782,50.63989267,50.7300234,50.81732679,50.84421668,50.81361225,50.78486054,50.76376855,50.74978831,50.76338211,50.80236085,50.82824753
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Bulgaria,BGR,51.26034948,51.29947183,51.32122572,51.32938317,51.34187934,51.3547607,51.36523542,51.36953386,51.36821367,51.36431405,51.35828108,51.3501377,51.33938516,51.3413748,51.3625001,51.38430184,51.4073929,51.43831593,51.47276499,51.50807781,51.54807308,51.57573004,51.58914681,51.60201083,51.60964815
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Bahrain,BHR,40.92684967,40.70027259,40.18907281,39.68444732,39.26124745,38.90497886,38.60299995,38.34453213,38.11935962,37.91442246,37.84185209,37.69308411,37.30188941,37.49569481,38.16588059,38.16880225,37.49530464,36.9528912,37.14314331,37.51739113,37.68947937,37.99951257,38.02712562,37.92331485,37.9589782
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,"Bahamas, The",BHS,50.62886964,50.68372392,50.73277968,50.79435549,50.86320052,50.9279022,51.00538213,51.10009226,51.18912323,51.27642568,51.37123855,51.45926199,51.53061496,51.59558045,51.66022318,51.72454956,51.79059669,51.8590983,51.92772404,51.98695632,52.03492117,52.08591929,52.14482101,52.20595783,52.25389563
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Bosnia and Herzegovina,BIH,52.16575624,52.14969094,52.14222626,52.14411887,52.16200872,52.18795687,52.21226938,52.2471087,52.2892076,52.33045878,52.36917715,52.40560821,52.44051069,52.46427512,52.47250289,52.47552892,52.47199614,52.45565134,52.45364629,52.4593839,52.45434781,52.4378195,52.44093083,52.44482623,52.41232367
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Belarus,BLR,53.16664587,53.19545606,53.23335341,53.28139031,53.3271235,53.37792172,53.42784935,53.46273512,53.48549189,53.49672011,53.50623428,53.52409837,53.53359166,53.52443015,53.50343323,53.47280268,53.4395024,53.41859428,53.39869669,53.38083519,53.38654579,53.40300016,53.40402231,53.39625788,53.39993746
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Belize,BLZ,49.44019934,49.4762016,49.53497729,49.59606643,49.65695945,49.71633462,49.77473174,49.82978723,49.88089801,49.92930579,49.92458899,49.87106551,49.82357198,49.78133983,49.74435547,49.7091204,49.63792654,49.56899901,49.5653912,49.6086339,49.6526454,49.68900738,49.61599869,49.52956172,49.54300457
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Bermuda,BMU,50.13241052,50.17133251,50.19954298,50.22842029,50.27096155,50.31334216,50.35729633,50.37454372,50.34281201,50.28238811,50.27461319,50.33578108,50.39829057,50.41920312,50.39745628,50.36793092,50.37746852,50.46320326,50.58357225,50.70117148,50.80767916,50.91572825,50.99074889,51.03479188,51.08144068
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Bolivia,BOL,49.47063933,49.41166968,49.39415907,49.41162003,49.42908669,49.44640143,49.46302069,49.47948881,49.4960845,49.51174963,49.52713741,49.5424599,49.55747096,49.57279623,49.5885016,49.60431532,49.62035395,49.63714413,49.65461654,49.6723097,49.72990274,49.82187016,49.87436197,49.88850602,49.89883445
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Brazil,BRA,50.31853809,50.33741233,50.3571737,50.37747334,50.39787323,50.41805184,50.4379812,50.45803812,50.47850051,50.4991104,50.519667,50.5403894,50.56115696,50.58145324,50.60124234,50.61996241,50.63937165,50.65949256,50.67882494,50.69749791,50.71213577,50.73427814,50.76282623,50.78492838,50.80385848
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Barbados,BRB,51.88752323,51.88873011,51.92770719,51.96688929,52.00787136,52.05260749,52.10146592,52.14660381,52.18488165,52.22419215,52.23166438,52.20721373,52.1842434,52.16393856,52.14479716,52.12516578,52.10713992,52.0896167,52.07260162,52.05702561,52.03995783,52.02607152,52.03583206,52.05553686,52.05705445
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Brunei Darussalam,BRN,46.0676911,46.12728555,46.18523964,46.2414572,46.29537276,46.34746388,46.3985828,46.52548588,46.71764697,46.89611459,47.07122302,47.1865775,47.18498263,47.12841864,47.07378524,47.02092788,46.97004425,46.92124259,46.87295145,46.82547212,46.78108998,46.78119189,46.81983183,46.85933918,46.90116312
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Bhutan,BTN,47.81365238,47.44807578,47.09189009,46.74734656,46.4192331,46.20572744,46.16330674,46.18488098,46.1991806,46.20656265,46.20855377,46.2063842,46.20120455,46.19412801,46.18503969,46.17070316,46.14810675,46.16476764,46.22366596,46.28012944,46.33704153,46.39341176,46.44864863,46.50419324,46.55279366
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Botswana,BWA,50.97067931,50.93590087,50.89923388,50.86031933,50.82325898,50.78747112,50.7484328,50.70633596,50.66529229,50.62900838,50.59883627,50.58226652,50.54006988,50.46309986,50.3902547,50.32202077,50.25953384,50.20430149,50.15734137,50.11879937,50.0900083,50.06650177,50.07996256,50.12712459,50.15881717
